frame_id,tiempo_segundos,emocion,confianza,face_id
0,0.0,happy,0.8000618593267977,0
29,0.9771350066934403,happy,0.42458261642654266,0
29,0.9771350066934403,neutral,0.22970073597353105,0
29,0.9771350066934403,sad,0.09926289291813427,0
29,0.9771350066934403,surprise,0.07587098108735406,0
29,0.9771350066934403,fear,0.07451619622519268,0
29,0.9771350066934403,angry,0.0717889635439654,0
58,1.9542700133868807,neutral,0.4314492152538245,0
58,1.9542700133868807,sad,0.18361822056622804,0
58,1.9542700133868807,happy,0.11444327728121911,0
58,1.9542700133868807,angry,0.09652278337453236,0
58,1.9542700133868807,surprise,0.09259511495096287,0
58,1.9542700133868807,fear,0.06004940382075267,0
87,2.9314050200803212,neutral,0.42991153582153924,0
87,2.9314050200803212,sad,0.14016734802296768,0
87,2.9314050200803212,angry,0.13273059837011844,0
87,2.9314050200803212,fear,0.10485912426330031,0
87,2.9314050200803212,happy,0.09920675480741203,0
87,2.9314050200803212,surprise,0.0680096005799874,0
116,3.9085400267737613,happy,0.333178410511201,0
116,3.9085400267737613,neutral,0.20313431310612418,0
116,3.9085400267737613,sad,0.17651551257164363,0
116,3.9085400267737613,angry,0.09241420032915333,0
116,3.9085400267737613,surprise,0.08411743713704026,0
116,3.9085400267737613,fear,0.07765249058764327,0
145,4.8856750334672014,sad,0.31215456995594654,0
145,4.8856750334672014,angry,0.23563671485938725,0
145,4.8856750334672014,neutral,0.2241622654055835,0
145,4.8856750334672014,surprise,0.09579717321976648,0
145,4.8856750334672014,fear,0.0725747194740133,0
174,5.8628100401606424,sad,0.2897851239023615,0
174,5.8628100401606424,neutral,0.25621683193998,0
174,5.8628100401606424,angry,0.22970360292904946,0
174,5.8628100401606424,surprise,0.08570602559567012,0
174,5.8628100401606424,fear,0.08060251348777209,0
203,6.8399450468540826,neutral,0.3924148128128492,0
203,6.8399450468540826,sad,0.21527323917447194,0
203,6.8399450468540826,angry,0.15593858086132142,0
203,6.8399450468540826,surprise,0.0934094319919182,0
203,6.8399450468540826,fear,0.08735445701459678,0
261,8.794215060240964,angry,0.2972693231739885,0
261,8.794215060240964,happy,0.29332141636305076,0
261,8.794215060240964,sad,0.14196575595291921,0
261,8.794215060240964,fear,0.0845928589978866,0
261,8.794215060240964,neutral,0.08302184653122999,0
261,8.794215060240964,surprise,0.07185116243278764,0
290,9.771350066934403,sad,0.26132770942729605,0
290,9.771350066934403,happy,0.18763720619446256,0
290,9.771350066934403,angry,0.16455337350535865,0
290,9.771350066934403,neutral,0.13301926154838936,0
290,9.771350066934403,fear,0.11734218657135452,0
290,9.771350066934403,surprise,0.1106224604496472,0
319,10.748485073627844,sad,0.2671238784961176,0
319,10.748485073627844,fear,0.25585933217325296,0
319,10.748485073627844,angry,0.14130652370318633,0
319,10.748485073627844,neutral,0.13043276710490945,0
319,10.748485073627844,surprise,0.11320041749752327,0
319,10.748485073627844,happy,0.06703179767667297,0
319,10.748485073627844,happy,0.36454622251345237,1
319,10.748485073627844,sad,0.1823398419465913,1
319,10.748485073627844,fear,0.14437201501612235,1
319,10.748485073627844,neutral,0.12811854969556882,1
319,10.748485073627844,angry,0.08094533060280423,1
319,10.748485073627844,surprise,0.07699917121898388,1
348,11.725620080321285,sad,0.22839472864977287,0
348,11.725620080321285,angry,0.18777929790258208,0
348,11.725620080321285,neutral,0.16907401951619722,0
348,11.725620080321285,surprise,0.14197498148681545,0
348,11.725620080321285,happy,0.12659896451626385,0
348,11.725620080321285,fear,0.12182439885592049,0
348,11.725620080321285,neutral,0.39591991850424696,1
348,11.725620080321285,angry,0.2533224025982033,1
348,11.725620080321285,sad,0.12103618257616626,1
348,11.725620080321285,surprise,0.08997967529446368,1
348,11.725620080321285,fear,0.08567977399003868,1
377,12.702755087014724,sad,0.4177865146431018,0
377,12.702755087014724,fear,0.175841907734591,0
377,12.702755087014724,neutral,0.1276805657077065,0
377,12.702755087014724,surprise,0.11642295777330781,0
377,12.702755087014724,angry,0.11345973635852882,0
464,15.634160107095045,happy,0.23679758950730012,0
464,15.634160107095045,sad,0.20771480294347125,0
464,15.634160107095045,fear,0.1912895641843448,0
464,15.634160107095045,angry,0.14446069313217785,0
464,15.634160107095045,surprise,0.13023342310808048,0
