frame_id,tiempo_segundos,emocion,confianza,face_id
30,0.9998558139534884,neutral,0.29179777504348503,0
30,0.9998558139534884,sad,0.22605002241761132,0
30,0.9998558139534884,happy,0.17886520919089893,0
30,0.9998558139534884,fear,0.10799769847037707,0
30,0.9998558139534884,surprise,0.09075000672836439,0
30,0.9998558139534884,angry,0.07940971801260117,0
90,2.999567441860465,happy,0.5587993327349138,0
90,2.999567441860465,sad,0.1186712944562787,0
90,2.999567441860465,surprise,0.10568052271502115,0
90,2.999567441860465,fear,0.07041942984509647,0
90,2.999567441860465,neutral,0.06179910954108164,0
90,2.999567441860465,angry,0.061666126833503615,0
120,3.9994232558139537,sad,0.29463793369981733,0
120,3.9994232558139537,happy,0.22583874529779657,0
120,3.9994232558139537,angry,0.21564629025137103,0
120,3.9994232558139537,surprise,0.08609175655042729,0
120,3.9994232558139537,fear,0.08263967232659461,0
120,3.9994232558139537,neutral,0.0740974717488508,0
120,3.9994232558139537,happy,0.470717058592574,1
120,3.9994232558139537,sad,0.13066571844826724,1
120,3.9994232558139537,fear,0.12651576214553661,1
120,3.9994232558139537,surprise,0.11007623955673472,1
120,3.9994232558139537,angry,0.08760211774788475,1
120,3.9994232558139537,neutral,0.05080086272800859,1
210,6.998990697674419,happy,0.3653380010968655,0
210,6.998990697674419,sad,0.24926310998641388,0
210,6.998990697674419,neutral,0.12262498891626432,0
210,6.998990697674419,surprise,0.08964922045563875,0
210,6.998990697674419,fear,0.0746091499782805,0
210,6.998990697674419,angry,0.0732715353921605,0
300,9.998558139534884,neutral,0.45387296516581127,0
300,9.998558139534884,fear,0.12036836769202958,0
300,9.998558139534884,surprise,0.11526853288188046,0
300,9.998558139534884,sad,0.10380215438446033,0
300,9.998558139534884,happy,0.09533610124816591,0
300,9.998558139534884,angry,0.08502080199356699,0
300,9.998558139534884,happy,0.3284287514592345,1
300,9.998558139534884,sad,0.22348032781677704,1
300,9.998558139534884,angry,0.16153498143124087,1
300,9.998558139534884,fear,0.10371757527285225,1
300,9.998558139534884,surprise,0.09981010451129178,1
300,9.998558139534884,sad,0.4297251337545681,2
300,9.998558139534884,angry,0.14523775311189835,2
300,9.998558139534884,happy,0.11452804383724648,2
300,9.998558139534884,fear,0.10402515814689764,2
300,9.998558139534884,surprise,0.10288195795617286,2
300,9.998558139534884,neutral,0.06793936712286887,2
330,10.998413953488372,neutral,0.48278584544938374,0
330,10.998413953488372,sad,0.18001474481218552,0
330,10.998413953488372,surprise,0.09191293012141019,0
330,10.998413953488372,fear,0.08192768556555016,0
330,10.998413953488372,happy,0.07585627677405267,0
330,10.998413953488372,angry,0.06034096992094353,0
330,10.998413953488372,sad,0.4354883364156394,1
330,10.998413953488372,angry,0.18565723740914963,1
330,10.998413953488372,happy,0.11456610995419651,1
330,10.998413953488372,fear,0.10963721558091533,1
330,10.998413953488372,surprise,0.08857195355061957,1
360,11.99826976744186,sad,0.4236137713334643,0
360,11.99826976744186,fear,0.24588339542322468,0
360,11.99826976744186,angry,0.15668692418804103,0
360,11.99826976744186,surprise,0.08702385777929658,0
390,12.99812558139535,sad,0.47756360140697546,0
390,12.99812558139535,angry,0.22535234697070983,0
390,12.99812558139535,fear,0.12981981718307542,0
390,12.99812558139535,surprise,0.06768456286227889,0
420,13.997981395348837,sad,0.5299932778526706,0
420,13.997981395348837,fear,0.15761170264202778,0
420,13.997981395348837,surprise,0.11955999348529456,0
420,13.997981395348837,angry,0.09104933417459495,0
420,13.997981395348837,neutral,0.05309578472993149,0
